Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Madera County, California",155013,74683,80330,11807,11847,12193,11303,10848,21466,19585,18065,8898,8204,12760,5764,2273,33.9
"Trinity County, California",12862,6582,6280,571,646,523,752,404,1057,1418,1661,1076,1365,2067,1055,267,51.8
"San Bernardino County, California",2135413,1062472,1072941,154616,159351,160376,159896,169422,319211,273918,268397,128278,108605,141854,66406,25083,33.1
"Placer County, California",380077,185511,194566,20325,25051,24540,24399,20279,41834,48667,52916,26116,24851,40466,21867,8766,41.9
"Solano County, California",438530,217931,220599,26706,27649,27594,26976,29952,63551,54436,58247,29377,29652,39080,17772,7538,37.9
"Colusa County, California",21464,11124,10340,1589,1708,1639,1538,1356,2878,2523,2641,1494,1132,1768,860,338,35.1
"Kings County, California",150075,82674,67401,11639,11665,11255,10441,12754,25059,20610,18001,7714,6370,8414,4632,1521,31.7
"Fresno County, California",978130,487936,490194,78636,78627,78151,71970,74241,148512,120605,111792,53835,47323,66238,32360,15840,32.0
"Ventura County, California",848112,419588,428524,51709,53476,59175,57639,59428,112151,105619,116202,59504,49774,71153,35016,17266,37.9
"Okaloosa County, Florida",200737,101745,98992,13322,12467,11875,11067,14503,32144,23664,24689,14132,11871,17994,9712,3297,36.8
"Taylor County, Florida",22098,12414,9684,1028,1189,1394,1002,1397,3177,2812,2865,1368,1644,2536,1416,270,41.7
"Washington County, Florida",24566,13231,11335,1256,1526,1252,1475,1429,3362,3235,3449,1894,1425,2631,1196,436,41.8
"Duval County, Florida",924229,448163,476066,62490,58528,56246,54020,64238,151026,116941,120835,62214,54211,74998,33953,14529,36.1
"Bradford County, Florida",26979,14841,12138,1418,1668,1517,1387,1501,4166,3489,3458,1714,1864,2651,1603,543,40.1
"Brevard County, Florida",576808,282023,294785,27189,27561,32298,31681,31303,63768,59144,79016,48320,43445,71603,43147,18333,47.2
"Clay County, Florida",207291,102225,105066,11571,14339,13839,14590,11925,25819,26825,29895,15183,12374,19606,8804,2521,39.5
"Lafayette County, Florida",8744,5066,3678,543,467,546,574,468,1329,1313,1183,664,480,701,339,137,39.1
"Lake County, Florida",335362,162402,172960,16662,17593,19738,18031,16249,35434,36342,42073,21764,23325,47920,30731,9500,46.8
"Nassau County, Florida",80578,39956,40622,4009,4120,5014,4500,4015,8749,9846,10950,6341,6199,10619,4782,1434,45.0
"Pinellas County, Florida",957875,459766,498109,42635,43795,44377,45352,49164,113584,105172,134683,76526,74092,122227,71045,35223,47.8
"Polk County, Florida",668671,327706,340965,39134,42049,42635,42132,40950,84933,78824,82087,41060,41329,75558,43535,14445,40.3
"St. Lucie County, Florida",305591,149385,156206,15920,16568,18301,17731,16515,34163,34185,39127,22179,19793,38763,23116,9230,44.8
"Glades County, Florida",13363,7303,6060,439,664,744,745,715,1575,1543,1720,917,838,1889,1244,330,47.2
"Hendry County, Florida",40127,21437,18690,2840,2802,3319,2960,2921,5573,5030,5087,2571,1737,2968,1650,669,33.9
"Indian River County, Florida",150984,72290,78694,6447,7330,6796,7661,7109,13465,13757,17784,10142,12758,24936,15117,7682,52.9
"Jackson County, Florida",48472,26784,21688,2371,2192,2826,2922,2791,6515,6719,6590,3546,3019,5123,2900,958,41.6
"Palm Beach County, Florida",1446277,701207,745070,74181,77315,78524,81182,80323,171605,166862,191753,97722,89902,164266,114719,57923,44.6
"St. Johns County, Florida",235503,114660,120843,11949,13754,16206,15392,11530,23377,30238,34117,18033,15668,27920,12590,4729,43.4
"Seminole County, Florida",455086,219935,235151,24115,27007,27593,28215,29175,65381,61743,65388,30329,28677,39798,18270,9395,39.2
"Miami-Dade County, Florida",2715516,1318627,1396889,157507,148896,153683,157350,175212,388968,380348,403554,174395,152250,226265,135591,61497,39.7
"Bay County, Florida",182482,90768,91714,11389,11129,10582,10136,11442,26120,22103,24546,13502,11373,17440,9271,3449,39.4
"Flagler County, Florida",107139,51187,55952,4331,5068,5767,6053,4472,9312,10776,13127,7924,8729,18506,9682,3392,50.9
"Franklin County, Florida",11736,6714,5022,516,561,554,505,634,1707,1395,1579,856,914,1559,686,270,45.0
"Hamilton County, Florida",14269,8281,5988,669,865,732,813,1057,1986,1781,2019,1248,748,1487,652,212,41.5
"Liberty County, Florida",8365,5110,3255,375,397,366,536,684,1171,1145,1185,624,577,810,396,99,40.3
"Sumter County, Florida",120999,60725,60274,2142,2201,3026,2795,2505,6715,7794,8453,6835,11262,41124,21000,5147,67.0
"Gadsden County, Florida",46017,21785,24232,2699,2907,2914,2433,2936,5589,5976,6266,3036,3647,4489,2237,888,40.7
"Holmes County, Florida",19430,10484,8946,898,1169,1037,1088,1177,2484,2363,2669,1378,1318,2165,1240,444,42.5
"Lee County, Florida",718679,351918,366761,33878,34888,38402,37240,36430,77857,74602,86752,48381,52227,110307,64088,23627,48.1
"Marion County, Florida",348371,167211,181160,17419,17867,18682,17686,17685,37013,34074,41372,24078,23612,54346,33370,11167,48.6
"Collier County, Florida",363922,179336,184586,16696,17191,19112,18503,17710,35059,35867,43314,22936,25255,57288,40319,14672,50.3
"Orange County, Florida",1321194,648446,672748,82019,81450,83255,88442,106036,221344,186537,176464,79201,66182,90452,41714,18098,34.9
"Pasco County, Florida",510593,248572,262021,26529,28372,30628,29072,25880,55862,61830,69626,35034,32996,63556,37490,13718,44.6
"Highlands County, Florida",102101,49727,52374,4835,4612,5231,4569,4807,9689,8984,10261,6473,7108,17349,13314,4869,53.4
"Suwannee County, Florida",43924,22230,21694,2157,2885,3017,2045,2851,5189,5242,5671,3076,2955,5101,2865,870,42.5
"DeSoto County, Florida",36399,20657,15742,1872,2100,1873,2475,2161,5185,4374,4317,1997,2285,4289,2771,700,40.6
"Calhoun County, Florida",14444,8048,6396,656,948,773,904,869,2064,1824,1948,965,833,1531,809,320,40.2
"Columbia County, Florida",69105,35683,33422,4129,4656,3826,4274,4406,8716,8083,8942,4633,5016,7276,3789,1359,40.7
"Dixie County, Florida",16437,9218,7219,733,797,973,897,667,1757,1942,2301,1256,1382,2200,1282,250,47.3
"Putnam County, Florida",72766,35841,36925,4177,4237,4616,3938,3958,8120,7306,9059,5696,5389,9454,5469,1347,45.0
"Union County, Florida",15239,9919,5320,849,809,733,787,850,2467,2234,2136,1130,1033,1501,480,230,39.5
"Manatee County, Florida",373853,180595,193258,18190,20506,19330,19579,18459,38940,38814,46900,26653,27555,53930,32191,12806,48.0
"Levy County, Florida",39961,19364,20597,2012,2422,2119,2248,1989,4256,4076,5108,2958,3372,5550,2842,1009,46.8
"Baker County, Florida",27785,14753,13032,1573,1508,2372,1704,1969,3676,3513,4096,1778,1769,2451,1024,352,37.6
"Volusia County, Florida",527634,257275,270359,25018,25571,26771,29299,31769,60080,55178,68500,40265,39677,69830,38071,17605,46.5
"Leon County, Florida",288102,136894,151208,14957,14656,15211,25901,47346,41665,30835,30364,15926,15541,22377,9317,4006,30.7
"Madison County, Florida",18474,9829,8645,921,1049,933,1139,982,2555,2170,2476,1339,1268,2157,1159,326,42.9
"Escambia County, Florida",311522,154520,157002,18844,17547,18441,21626,26479,44841,33877,37930,21588,19877,29535,15337,5600,37.2
"Hernando County, Florida",182696,87747,94949,8223,8849,10363,9935,8786,18423,18517,23024,13076,13183,27173,16713,6431,48.9
"Hillsborough County, Florida",1378883,673286,705597,87034,87580,87895,88614,92002,208393,186834,187388,85819,77648,112780,54018,22878,36.9
"Wakulla County, Florida",31877,17490,14387,1553,1940,2053,1788,1560,4229,4867,4897,2358,2200,2830,1213,389,40.7
"Gulf County, Florida",16055,9586,6469,781,767,583,801,946,2337,2026,2326,1234,1059,1904,956,335,44.3
"Osceola County, Florida",338619,166820,171799,21663,22899,24243,24138,23131,48852,48678,45306,18926,17595,26423,12186,4579,35.8
"Walton County, Florida",65858,33317,32541,3876,3284,4022,3406,3061,8064,8090,9131,5137,5003,8084,3674,1026,43.7
"Jefferson County, Florida",14105,7507,6598,611,746,574,517,747,1664,1844,2035,959,1307,1975,842,284,47.2
"Hardee County, Florida",27228,14705,12523,1765,2078,2113,1973,1976,3672,3226,3333,1477,1409,2366,1382,458,35.1
"Okeechobee County, Florida",40572,21866,18706,2382,2295,2536,2586,2489,5014,5086,5199,2456,2736,4213,2609,971,41.1
"Gilchrist County, Florida",17615,9249,8366,851,773,1111,1507,1483,1782,1829,2270,1382,1110,2028,1060,429,42.5
"Alachua County, Florida",263148,127298,135850,14162,13836,11817,22826,41246,40672,27916,26637,14640,14592,20853,9437,4514,31.3
"Charlotte County, Florida",176954,86278,90676,5386,5770,6632,6878,7068,13070,13282,19905,14764,15153,37174,22535,9337,58.6
"Martin County, Florida",157581,78002,79579,6439,6168,8600,8009,7055,14248,14823,20515,11861,12452,23548,15957,7906,51.9
"Sarasota County, Florida",412144,196433,215711,14882,16656,17191,18040,17292,34562,35586,48449,30382,33263,74199,49300,22342,55.5
"Citrus County, Florida",143087,69376,73711,5454,5233,6652,6350,5753,11280,11475,16471,11412,11649,28067,17032,6259,56.2
"Santa Rosa County, Florida",170442,87175,83267,9728,10196,11101,10908,10022,22904,22169,24525,12214,10482,15955,8101,2137,39.7
"Broward County, Florida",1909151,929712,979439,111571,109519,116309,112757,114287,257952,255231,278165,133090,116289,168797,90807,44377,40.1
"Monroe County, Florida",76325,39822,36503,3550,2952,3185,3417,3621,9298,9553,11577,6463,6446,10193,4694,1376,47.3
"Jersey County, Illinois",22069,10841,11228,1032,1069,1623,1640,1446,2372,2467,3072,1644,1595,2269,1284,556,42.7
"Putnam County, Illinois",5746,2959,2787,242,326,341,329,282,608,584,815,469,477,753,362,158,47.9
"De Witt County, Illinois",16042,8015,8027,874,939,1029,978,818,1811,1945,2226,1261,1218,1650,865,428,43.1
"Fayette County, Illinois",21724,11580,10144,1176,1124,1398,1249,1436,2765,2653,2919,1753,1271,2142,1323,515,41.5
"Lee County, Illinois",34527,18326,16201,1742,2181,1703,1900,2034,4177,4276,4905,2799,2426,3504,2053,827,43.4
"Logan County, Illinois",29207,14183,15024,1565,1372,1652,1993,2180,3821,3703,3727,2119,1918,2708,1368,1081,40.4
"Macoupin County, Illinois",45719,22602,23117,2272,2658,3071,2849,2526,5025,5413,6183,3403,3563,4843,2639,1274,43.6
"Richland County, Illinois",15881,7809,8072,1057,921,1047,911,845,1816,1822,2045,1316,963,1551,1080,507,41.9
"Saline County, Illinois",24231,11962,12269,1472,1224,1597,1473,1349,2995,2689,3239,1646,1764,2666,1393,724,42.0
"Washington County, Illinois",14155,7108,7047,768,919,824,802,699,1634,1655,1926,1228,969,1435,883,413,43.4
"Montgomery County, Illinois",29009,15145,13864,1441,1747,1548,1569,1716,3618,3487,3985,2327,1882,2917,1938,834,43.1
"Whiteside County, Illinois",56396,27799,28597,3213,3426,3697,3609,3156,5966,6456,7327,4150,4163,6058,3402,1773,43.2
"Adams County, Illinois",66427,32481,33946,4120,4369,4143,3768,3853,8242,7454,8434,4862,4213,6706,4367,1896,41.3
"Clinton County, Illinois",37628,19551,18077,2076,2031,2469,2171,2200,5119,4727,5414,2818,2493,3303,1979,828,40.2
"DeKalb County, Illinois",104200,51580,52620,6025,5863,6855,9198,14896,14362,11652,11656,6220,5072,7132,3536,1733,31.0
"Edwards County, Illinois",6507,3231,3276,374,404,449,391,351,650,759,845,504,447,728,395,210,43.3
"Jasper County, Illinois",9598,4809,4789,583,650,604,553,499,1042,1079,1345,771,678,965,541,288,42.8
"Jefferson County, Illinois",38169,19567,18602,2392,2535,2105,2155,2315,4732,4663,5141,2554,2603,3968,2221,785,41.0
"Will County, Illinois",688697,341816,346881,41129,47526,54724,52458,44598,80263,95837,105054,45491,37967,51064,23314,9272,37.6
"Williamson County, Illinois",67299,33607,33692,3986,3885,4491,3608,3802,8670,8651,8869,4705,4446,7022,3785,1379,40.9
"Douglas County, Illinois",19714,9748,9966,1325,1221,1540,1311,1182,2397,2383,2283,1410,1251,1784,1153,474,37.9
"Fulton County, Illinois",35418,18496,16922,1723,1909,2116,2029,2053,4203,4578,4793,2484,2591,3758,1938,1243,43.0
"Greene County, Illinois",13218,6668,6550,660,883,720,791,765,1526,1577,1863,1090,859,1332,771,381,42.9
"Hardin County, Illinois",4009,1976,2033,131,159,246,273,218,355,574,616,267,318,577,162,113,46.2
"Henry County, Illinois",49464,24536,24928,2741,2990,3321,3200,2581,5281,5859,6451,3838,3363,5476,3017,1346,43.1
"Knox County, Illinois",50999,25743,25256,2750,2558,3066,3426,3666,5708,5801,6371,3471,3803,5701,3275,1403,42.1
"Lake County, Illinois",703619,351343,352276,41245,46814,53083,54971,50498,77870,89060,103477,50948,42584,55222,25780,12067,38.2
"Massac County, Illinois",14430,6794,7636,762,1210,760,731,729,1545,1759,1865,970,1059,1619,1087,334,43.8
"Scott County, Illinois",5047,2460,2587,245,292,374,315,262,496,596,723,437,330,496,368,113,44.1
"Cass County, Illinois",12665,6353,6312,820,990,729,811,698,1569,1563,1672,997,697,1101,747,271,39.7
"LaSalle County, Illinois",110401,55400,55001,6126,6278,7131,6870,6583,13459,12871,14856,8461,7807,10688,6123,3148,41.8
"Hancock County, Illinois",18112,9008,9104,964,1039,1103,1030,936,1842,1924,2395,1354,1459,2179,1270,617,46.0
"Grundy County, Illinois",50509,25241,25268,3142,3813,3645,3421,2933,6408,7061,7084,3673,2632,3955,1980,762,37.6
"Kankakee County, Illinois",111061,54615,56446,6620,7211,7433,8489,8489,13385,13198,14203,7709,6715,9911,5150,2548,37.6
"DuPage County, Illinois",931743,457178,474565,55318,59578,61211,62132,58606,118415,120006,132848,68587,60313,79557,37630,17542,39.1
"Sangamon County, Illinois",197661,94876,102785,11423,12748,12571,12375,11878,25256,24163,26425,14645,13200,19035,9639,4303,40.0
"Menard County, Illinois",12367,6043,6324,668,822,762,728,629,1275,1504,1738,1041,872,1331,725,272,42.9
"Cook County, Illinois",5223719,2534640,2689079,327844,317203,322294,318152,351197,853319,704675,668857,333851,301597,409962,217767,97001,36.6
"Ogle County, Illinois",51328,25614,25714,2799,2990,3689,3329,2887,5683,6069,7399,3949,3402,5174,2567,1391,42.4
"Morgan County, Illinois",34426,17298,17128,1775,1784,1900,2275,2691,4292,3989,4322,2410,2336,3646,1917,1089,41.5
"Stephenson County, Illinois",45433,21986,23447,2513,3134,2459,2562,2785,4430,4794,6067,3275,3677,5156,3077,1504,45.1
"White County, Illinois",14025,6882,7143,810,936,811,775,699,1597,1523,1788,1155,911,1535,952,533,44.1
"Woodford County, Illinois",38817,19343,19474,2384,2577,2911,2704,2266,4081,4651,5161,2800,2721,3502,1926,1133,40.0
"Henderson County, Illinois",6884,3369,3515,330,321,367,380,359,645,649,950,683,503,924,587,186,49.7
"McHenry County, Illinois",307789,153382,154407,16959,20335,22545,22431,18610,33815,39538,49094,23853,19163,25771,10858,4817,40.2
"McLean County, Illinois",173219,84245,88974,10427,11029,9990,14795,21923,22902,20792,20465,10072,9601,12214,5816,3193,32.9
"Perry County, Illinois",21384,11767,9617,1117,968,1278,1161,1520,2810,2844,2944,1486,1401,2200,1042,613,41.7
"Pike County, Illinois",15754,7815,7939,961,1047,937,911,892,1797,1727,2035,1244,1009,1648,1054,492,42.3
"Rock Island County, Illinois",145275,71596,73679,9181,8928,9059,9195,8969,18127,17163,17819,10508,9697,14754,8338,3537,40.1
"St. Clair County, Illinois",263463,127237,136226,16721,17759,17237,16878,16729,34666,33220,35299,18242,17839,21969,11986,4918,38.3
"Wabash County, Illinois",11573,5666,5907,731,638,805,595,656,1317,1298,1467,929,843,1186,738,370,43.6
"Calhoun County, Illinois",4858,2435,2423,254,217,369,331,188,453,511,678,387,357,593,404,116,46.7
"Cumberland County, Illinois",10865,5455,5410,667,627,783,624,542,1260,1276,1420,891,733,1139,624,279,42.6
"Jo Daviess County, Illinois",21834,10956,10878,923,1122,1335,1220,1012,1917,2255,2740,1567,1978,3350,1753,662,49.7
"Kane County, Illinois",530839,264211,266628,34620,38458,41207,39340,33704,64192,72293,75567,34839,29601,40562,18715,7741,37.0
"Lawrence County, Illinois",16189,8919,7270,840,901,876,810,1058,2350,2255,2187,1163,978,1455,951,365,41.0
"Brown County, Illinois",6675,4238,2437,275,302,320,278,506,1153,1103,966,504,319,508,287,154,39.0
"Marshall County, Illinois",11794,5874,5920,651,547,755,664,654,1167,1268,1565,933,911,1428,798,453,46.3
"Iroquois County, Illinois",28169,13751,14418,1488,1653,1815,1794,1502,2898,3141,3733,2043,2209,3133,1925,835,44.5
"Christian County, Illinois",33231,16818,16413,1707,2041,1881,1917,1899,3887,4090,4640,2712,2122,3318,1987,1030,43.2
"Clay County, Illinois",13338,6586,6752,756,854,842,759,777,1442,1501,1737,1038,1000,1449,814,369,42.7
"Gallatin County, Illinois",5157,2472,2685,264,285,343,249,268,540,610,660,375,353,693,405,112,45.3
"Jackson County, Illinois",58551,28989,29562,3018,2832,2952,5837,8594,8577,5807,5888,3444,3247,4752,2456,1147,31.6
"Monroe County, Illinois",33936,16691,17245,1808,1851,2591,2145,1671,3625,4287,5064,3010,2208,3067,1833,776,42.6
"Peoria County, Illinois",184463,89387,95076,12802,12011,12037,11739,12224,25671,22206,22517,11873,11946,16682,8570,4185,37.2
"Union County, Illinois",17127,8592,8535,907,964,1110,922,856,2063,2016,2287,1411,1172,1893,1098,428,43.7
"Winnebago County, Illinois",286174,139748,146426,17976,18416,19374,18446,17533,35563,34184,38383,19588,19285,27170,13678,6578,39.6
"Piatt County, Illinois",16427,8080,8347,957,1106,970,1004,798,1785,1995,2207,1470,1032,1753,1050,300,43.0
"Pulaski County, Illinois",5611,2747,2864,313,251,436,401,226,645,564,685,472,427,700,356,135,44.1
"Schuyler County, Illinois",7064,3701,3363,300,322,460,400,332,750,888,1041,582,484,820,488,197,45.8
"Stark County, Illinois",5500,2716,2784,310,326,317,357,296,517,619,726,468,380,635,376,173,45.1
"Edgar County, Illinois",17539,8617,8922,903,931,1149,1003,908,1911,2093,2264,1381,1313,2024,1079,580,44.6
"Bond County, Illinois",16712,8587,8125,770,910,880,1168,1161,1993,2178,2297,1240,1196,1584,911,424,41.3
"Boone County, Illinois",53606,26830,26776,3062,3331,4577,4481,3228,5678,6773,7912,3625,3011,4829,2263,836,38.4
"Bureau County, Illinois",33381,16437,16944,1741,1897,2278,2019,1875,3515,3701,4444,2439,2449,3727,2404,892,44.0
"Carroll County, Illinois",14562,7229,7333,770,668,869,812,771,1447,1525,1816,1172,1168,2006,1174,364,47.9
"Coles County, Illinois",51736,24999,26737,2430,2577,2826,4187,6713,6981,5438,5685,3425,3139,4560,2530,1245,35.2
"Crawford County, Illinois",19088,9910,9178,1026,968,1129,1057,1107,2562,2397,2586,1355,1389,1897,1122,493,42.0
"Vermilion County, Illinois",78407,38967,39440,5142,5216,5152,4966,4621,9354,8919,9807,5857,4997,8059,4551,1766,40.3
"Clark County, Illinois",15836,7824,8012,927,1042,987,1032,859,1745,1787,2160,1268,1010,1629,907,483,43.0
"Effingham County, Illinois",34174,16971,17203,2234,2071,2410,2120,2062,4486,3879,4376,2336,2444,3091,1793,872,39.1
"Hamilton County, Illinois",8221,4018,4203,466,516,534,500,367,891,916,1028,625,653,920,553,252,44.1
"Johnson County, Illinois",12602,7015,5587,603,717,580,697,776,1635,1538,1747,1018,719,1511,757,304,43.2
"Livingston County, Illinois",36324,18614,17710,1979,2074,2243,2311,2197,4411,4118,5022,2747,2560,3572,1906,1184,42.0
"Tazewell County, Illinois",133852,65987,67865,8005,8828,8635,8071,6890,16405,17274,17537,9278,9066,13069,7244,3550,40.9
"Warren County, Illinois",17338,8353,8985,1080,1039,1042,1516,1354,1754,2064,1970,1351,988,1754,1079,347,39.3
"Madison County, Illinois",265670,129718,135952,15516,16234,16822,16289,15891,35938,32208,35683,19378,17964,24316,13264,6167,40.1
"Mercer County, Illinois",15693,7798,7895,784,1018,930,981,783,1552,1831,2188,1303,1052,1807,1042,422,44.8
"Alexander County, Illinois",6532,3104,3428,460,398,553,352,225,737,664,799,548,468,823,382,123,42.8
"Randolph County, Illinois",32546,18019,14527,1626,1775,1788,1761,1873,4490,4214,4493,2308,2370,3123,1759,966,42.0
"Macon County, Illinois",106512,51062,55450,6553,6492,6674,6792,6771,12624,12164,13027,7508,7728,11060,6494,2625,41.3
"Wayne County, Illinois",16487,8141,8346,1033,883,1201,945,866,1850,1827,2080,1213,1155,1869,1023,542,43.3
"Franklin County, Illinois",39127,19285,19842,2275,2589,2270,2333,2065,4521,4681,5170,2865,2602,4357,2482,917,42.3
"McDonough County, Illinois",30875,15009,15866,1337,1325,1655,3265,4892,3681,2867,3076,1769,1888,2817,1524,779,32.1
"Moultrie County, Illinois",14703,7172,7531,996,1016,1064,946,791,1705,1688,1830,1037,922,1446,842,420,40.3
"Pope County, Illinois",4249,2349,1900,173,146,204,132,173,327,408,620,351,475,651,383,206,53.7
"Shelby County, Illinois",21832,10791,11041,1179,1263,1330,1324,1138,2341,2398,2938,1622,1615,2580,1364,740,44.8
"Champaign County, Illinois",209448,104513,104935,11603,10611,10676,21476,33845,30799,22536,20674,10965,11235,14213,7333,3482,29.9
"Ford County, Illinois",13398,6616,6782,735,995,707,908,715,1460,1560,1743,1047,1033,1232,727,536,43.0
"Kendall County, Illinois",124626,61761,62865,8881,11024,10401,9227,6959,15938,20347,17669,7066,5212,7620,3041,1241,34.9
"Marion County, Illinois",38084,18726,19358,2399,2636,2272,2172,2228,4546,4221,4869,2824,2656,3986,2166,1109,42.1
"Mason County, Illinois",13778,6838,6940,679,737,882,848,683,1410,1589,1881,1194,883,1646,891,455,45.3
