County Name,Fatalities 10-20,Fatalities 10-21,Fatalities 10-22,Fatalities 10-23,Fatalities 10-24
ANDERSON,39,39,39,39,39
ANDREWS,10,10,10,10,10
ANGELINA,90,90,90,90,90
ARANSAS,18,18,18,18,18
ARCHER,1,1,1,1,1
ARMSTRONG,1,1,1,1,1
ATASCOSA,35,35,35,35,35
AUSTIN,9,9,9,9,9
BAILEY,5,5,5,5,5
BANDERA,8,8,8,8,8
BASTROP,31,31,31,31,31
BAYLOR,2,2,2,2,2
BEE,39,39,39,39,39
BELL,100,100,100,100,100
BEXAR,1394,1394,1394,1394,1394
BLANCO,6,6,6,6,6
BORDEN,0,0,0,0,0
BOSQUE,11,11,11,11,11
BOWIE,73,73,73,73,73
BRAZORIA,182,182,182,182,182
BRAZOS,67,67,67,67,67
BREWSTER,5,5,5,5,5
BRISCOE,1,1,1,1,1
BROOKS,23,23,23,23,23
BROWN,28,28,28,28,28
BURLESON,6,6,6,6,6
BURNET,15,15,15,15,15
CALDWELL,37,37,37,37,37
CALHOUN,9,9,9,9,9
CALLAHAN,4,4,4,4,4
CAMERON,974,974,974,974,974
CAMP,13,13,13,13,13
CARSON,0,0,0,0,0
CASS,23,23,23,23,23
CASTRO,7,7,7,7,7
CHAMBERS,10,10,10,10,10
CHEROKEE,36,36,36,36,36
CHILDRESS,0,0,0,0,0
CLAY,2,2,2,2,2
COCHRAN,1,1,1,1,1
COKE,5,5,5,5,5
COLEMAN,4,4,4,4,4
COLLIN,175,175,175,175,175
COLLINGSWORTH,0,0,0,0,0
COLORADO,4,4,4,4,4
COMAL,106,106,106,106,106
COMANCHE,5,5,5,5,5
CONCHO,2,2,2,2,2
COOKE,9,9,9,9,9
CORYELL,13,13,13,13,13
COTTLE,3,3,3,3,3
CRANE,2,3,3,3,3
CROCKETT,7,7,7,7,7
CROSBY,6,6,6,6,6
CULBERSON,2,2,2,2,2
DALLAM,10,10,10,10,10
DALLAS,1218,1220,1220,1220,1220
DAWSON,17,17,17,17,17
DE WITT,44,44,44,44,44
DEAF SMITH,25,25,25,25,25
DELTA,0,0,0,0,0
DENTON,170,170,170,170,170
DICKENS,2,2,2,2,2
DIMMIT,7,7,7,7,7
DONLEY,1,1,1,1,1
DUVAL,21,21,21,21,21
EASTLAND,6,6,6,6,6
ECTOR,95,95,95,95,95
EDWARDS,2,2,2,2,2
EL PASO,595,595,595,595,595
ELLIS,76,76,76,76,76
ERATH,13,13,13,13,13
FALLS,5,5,5,5,5
FANNIN,18,18,18,18,18
FAYETTE,22,22,22,22,22
FISHER,3,3,3,3,3
FLOYD,9,9,9,9,9
FOARD,1,1,1,1,1
FORT BEND,306,306,306,306,306
FRANKLIN,7,7,7,7,7
FREESTONE,4,4,4,4,4
FRIO,9,9,9,9,9
GAINES,11,11,11,11,11
GALVESTON,169,169,169,169,169
GARZA,6,6,7,7,7
GILLESPIE,10,10,10,10,10
GLASSCOCK,0,0,0,0,0
GOLIAD,6,6,6,6,6
GONZALES,20,20,20,20,20
GRAY,10,10,10,10,10
GRAYSON,68,68,68,68,68
GREGG,85,85,85,85,85
GRIMES,35,35,35,35,35
GUADALUPE,79,79,79,79,79
HALE,61,61,61,61,61
HALL,1,1,1,1,1
HAMILTON,4,4,4,4,4
HANSFORD,6,6,6,6,6
HARDEMAN,1,1,1,1,1
HARDIN,34,34,34,34,34
HARRIS,2783,2783,2783,2783,2783
HARRISON,38,38,38,38,38
HARTLEY,0,0,0,0,0
HASKELL,3,3,3,3,3
HAYS,74,74,74,74,74
HEMPHILL,0,0,0,0,0
HENDERSON,35,35,35,35,35
HIDALGO,1676,1676,1676,1676,1676
HILL,16,16,16,16,16
HOCKLEY,14,14,14,14,14
HOOD,38,38,38,38,38
HOPKINS,27,27,27,27,27
HOUSTON,13,13,13,13,13
HOWARD,21,21,21,21,21
HUDSPETH,3,3,3,3,3
HUNT,44,44,44,44,44
HUTCHINSON,7,7,7,7,7
IRION,0,0,0,0,0
JACK,3,3,3,3,3
JACKSON,16,16,16,16,16
JASPER,34,34,34,34,34
JEFF DAVIS,0,0,0,0,0
JEFFERSON,152,152,152,152,152
JIM HOGG,6,6,6,6,6
JIM WELLS,52,52,52,52,52
JOHNSON,64,64,64,64,64
JONES,2,2,2,2,2
KARNES,17,17,17,17,17
KAUFMAN,56,56,56,56,56
KENDALL,10,10,10,10,10
KENEDY,2,2,2,2,2
KENT,0,0,0,0,0
KERR,13,13,13,13,13
KIMBLE,1,1,1,1,1
KING,0,0,0,0,0
KINNEY,1,1,1,1,1
KLEBERG,52,52,52,52,52
KNOX,9,9,9,9,9
LA SALLE,13,13,13,13,13
LAMAR,46,46,46,46,46
LAMB,24,24,24,24,24
LAMPASAS,9,9,9,9,9
LAVACA,39,39,39,39,39
LEE,14,14,14,14,14
LEON,11,11,11,11,11
LIBERTY,58,58,58,58,58
LIMESTONE,16,16,16,16,16
LIPSCOMB,1,1,1,1,1
LIVE OAK,10,10,10,10,10
LLANO,3,3,3,3,3
LOVING,0,0,0,0,0
LUBBOCK,163,165,165,165,165
LYNN,5,5,5,5,5
MADISON,6,6,6,6,6
MARION,14,14,14,14,14
MARTIN,7,7,7,7,7
MASON,2,2,2,2,2
MATAGORDA,53,53,53,53,53
MAVERICK,146,146,146,146,146
MCCULLOCH,4,4,4,4,4
MCLENNAN,131,131,131,131,131
MCMULLEN,1,1,1,1,1
MEDINA,48,48,48,48,48
MENARD,0,0,0,0,0
MIDLAND,76,76,76,76,76
MILAM,7,7,7,7,7
MILLS,1,1,1,1,1
MITCHELL,2,2,2,2,2
MONTAGUE,5,5,5,5,5
MONTGOMERY,173,173,173,173,173
MOORE,22,22,22,22,22
MORRIS,5,5,5,5,5
MOTLEY,0,0,0,0,0
NACOGDOCHES,68,68,68,68,68
NAVARRO,32,32,32,32,32
NEWTON,13,13,13,13,13
NOLAN,5,5,5,5,5
NUECES,407,407,407,407,407
OCHILTREE,5,5,5,5,5
OLDHAM,2,2,2,2,2
ORANGE,46,46,46,46,46
PALO PINTO,17,17,17,17,17
PANOLA,28,28,28,28,28
PARKER,47,47,47,47,47
PARMER,18,18,18,18,18
PECOS,7,7,7,7,7
POLK,35,35,35,35,35
POTTER,90,90,90,90,90
PRESIDIO,7,7,7,7,7
RAINS,5,5,5,5,5
RANDALL,54,54,54,54,54
REAGAN,6,6,6,6,6
REAL,8,8,8,8,8
RED RIVER,17,17,17,17,17
REEVES,7,7,7,7,7
REFUGIO,16,16,16,16,16
ROBERTS,0,0,0,0,0
ROBERTSON,4,4,4,4,4
ROCKWALL,32,32,32,32,32
RUNNELS,9,9,9,9,9
RUSK,21,21,21,21,21
SABINE,9,9,9,9,9
SAN AUGUSTINE,15,15,15,15,15
SAN JACINTO,11,11,11,11,11
SAN PATRICIO,80,80,80,80,80
SAN SABA,1,1,1,1,1
SCHLEICHER,2,2,2,2,2
SCURRY,14,14,14,14,14
SHACKELFORD,0,0,0,0,0
SHELBY,30,30,30,30,30
SHERMAN,1,1,1,1,1
SMITH,134,134,134,134,134
SOMERVELL,5,5,5,5,5
STARR,185,185,185,185,185
STEPHENS,4,4,4,4,4
STERLING,0,0,0,0,0
STONEWALL,1,1,1,1,1
SUTTON,3,3,3,3,3
SWISHER,3,3,3,3,3
TARRANT,814,814,814,814,814
TAYLOR,64,64,64,64,64
TERRELL,0,0,0,0,0
TERRY,8,8,8,8,8
THROCKMORTON,2,2,2,2,2
TITUS,35,35,35,35,35
TOM GREEN,77,77,77,77,77
TRAVIS,442,442,442,442,442
TRINITY,7,7,7,7,7
TYLER,4,4,4,4,4
UPSHUR,13,13,13,13,13
UPTON,3,3,3,3,3
UVALDE,36,36,36,36,36
VAL VERDE,125,125,125,125,125
VAN ZANDT,26,26,26,26,26
VICTORIA,97,97,97,97,97
WALKER,62,62,62,62,62
WALLER,17,17,17,17,17
WARD,1,1,1,1,1
WASHINGTON,48,48,48,48,48
WEBB,329,329,329,329,329
WHARTON,58,58,58,58,58
WHEELER,0,0,0,0,0
WICHITA,33,33,33,33,33
WILBARGER,3,3,3,3,3
WILLACY,55,55,55,55,55
WILLIAMSON,152,152,152,152,152
WILSON,28,28,28,28,28
WINKLER,4,4,4,4,4
WISE,15,15,15,15,15
WOOD,39,39,39,39,39
YOAKUM,6,6,6,6,6
YOUNG,8,8,8,8,8
ZAPATA,9,9,9,9,9
ZAVALA,18,18,18,18,18
